GeneId1,GeneId2,Corr
AFFX-r2-Bs-dap-M_at | AFFX-r2-Bs-dap-M_at,TMEM165 | 222515_x_at,-0.881679005960796
MIR675///H19 | 224997_x_at,TMEM165 | 222515_x_at,0.873381503820475
AFFX-TrpnX-3_at | AFFX-TrpnX-3_at,TMEM165 | 222515_x_at,-0.884677419173014
AFFX-TrpnX-3_at | AFFX-TrpnX-3_at,AFFX-r2-Bs-dap-M_at | AFFX-r2-Bs-dap-M_at,0.961006848824563
AFFX-r2-Bs-dap-3_at | AFFX-r2-Bs-dap-3_at,AFFX-r2-Bs-dap-M_at | AFFX-r2-Bs-dap-M_at,0.95111149314979
AFFX-r2-Bs-dap-3_at | AFFX-r2-Bs-dap-3_at,AFFX-TrpnX-3_at | AFFX-TrpnX-3_at,0.939206432132039
AFFX-TrpnX-M_at | AFFX-TrpnX-M_at,TMEM165 | 222515_x_at,-0.865067853838994
AFFX-TrpnX-M_at | AFFX-TrpnX-M_at,AFFX-r2-Bs-dap-M_at | AFFX-r2-Bs-dap-M_at,0.962205199552172
AFFX-TrpnX-M_at | AFFX-TrpnX-M_at,AFFX-TrpnX-3_at | AFFX-TrpnX-3_at,0.962196645490335
AFFX-TrpnX-M_at | AFFX-TrpnX-M_at,AFFX-r2-Bs-dap-3_at | AFFX-r2-Bs-dap-3_at,0.935097830212955
PCDH9 | 238919_at,MIR675///H19 | 224997_x_at,-0.912497399776662
IKZF1 | 227346_at,MS4A1 | 228592_at,0.884272749497359
P2RY8 | 229686_at,IKZF1 | 227346_at,0.942286976866153
AFFX-r2-Bs-dap-5_at | AFFX-r2-Bs-dap-5_at,TMEM165 | 222515_x_at,-0.854177525269461
AFFX-r2-Bs-dap-5_at | AFFX-r2-Bs-dap-5_at,AFFX-r2-Bs-dap-M_at | AFFX-r2-Bs-dap-M_at,0.963793917636284
AFFX-r2-Bs-dap-5_at | AFFX-r2-Bs-dap-5_at,AFFX-TrpnX-3_at | AFFX-TrpnX-3_at,0.952131777145443
AFFX-r2-Bs-dap-5_at | AFFX-r2-Bs-dap-5_at,AFFX-r2-Bs-dap-3_at | AFFX-r2-Bs-dap-3_at,0.920172646542896
AFFX-r2-Bs-dap-5_at | AFFX-r2-Bs-dap-5_at,AFFX-TrpnX-M_at | AFFX-TrpnX-M_at,0.974649999622469
AFFX-r2-Bs-lys-5_at | AFFX-r2-Bs-lys-5_at,TMEM165 | 222515_x_at,-0.854191706084351
AFFX-r2-Bs-lys-5_at | AFFX-r2-Bs-lys-5_at,AFFX-r2-Bs-dap-M_at | AFFX-r2-Bs-dap-M_at,0.930654337084344
AFFX-r2-Bs-lys-5_at | AFFX-r2-Bs-lys-5_at,AFFX-TrpnX-3_at | AFFX-TrpnX-3_at,0.931372376212329
AFFX-r2-Bs-lys-5_at | AFFX-r2-Bs-lys-5_at,AFFX-r2-Bs-dap-3_at | AFFX-r2-Bs-dap-3_at,0.925535519920894
AFFX-r2-Bs-lys-5_at | AFFX-r2-Bs-lys-5_at,AFFX-TrpnX-M_at | AFFX-TrpnX-M_at,0.933976652565949
