GeneId1,GeneId2,Corr
XIST | 224590_at,XIST | 224588_at,0.868499207402475
XIST | 224590_at,XIST | 224589_at,0.878966878259785
AFFX-hum_alu_at | AFFX-hum_alu_at,ACTB | 224594_x_at,0.855948220045114
ACTB | AFFX-HSAC07/X00351_M_at,ACTB | 224594_x_at,0.938540689514182
SNORD24///SNORD36A///SNORD36B///RPL7A | 224930_x_at,ACTB | 224594_x_at,0.893807799009509
SNORD24///SNORD36A///SNORD36B///RPL7A | 224930_x_at,AFFX-hum_alu_at | AFFX-hum_alu_at,0.862321443563232
SNORD24///SNORD36A///SNORD36B///RPL7A | 224930_x_at,ACTB | AFFX-HSAC07/X00351_M_at,0.901606112508591
XIST | 227671_at,XIST | 224588_at,0.914046881447818
RPS10 | 200095_x_at,ACTB | 224594_x_at,0.917409353039671
RPS10 | 200095_x_at,AFFX-hum_alu_at | AFFX-hum_alu_at,0.874258068906277
RPS10 | 200095_x_at,ACTB | AFFX-HSAC07/X00351_M_at,0.906152108779315
RPS10 | 200095_x_at,SNORD24///SNORD36A///SNORD36B///RPL7A | 224930_x_at,0.97738068513064
RPL21P28///SNORA27///SNORD102///RPL21 | 200012_x_at,ACTB | 224594_x_at,0.856900701064957
RPL21P28///SNORA27///SNORD102///RPL21 | 200012_x_at,SNORD24///SNORD36A///SNORD36B///RPL7A | 224930_x_at,0.923928633074199
RPL21P28///SNORA27///SNORD102///RPL21 | 200012_x_at,RPS10 | 200095_x_at,0.943349966482268
LIPJ | 238634_x_at,244283_x_at | 244283_x_at,0.858955194783347
ND4 | 224372_at,ACTB | 224594_x_at,0.914231069451512
ND4 | 224372_at,AFFX-hum_alu_at | AFFX-hum_alu_at,0.917139904299149
ND4 | 224372_at,ACTB | AFFX-HSAC07/X00351_M_at,0.864883192525578
ND4 | 224372_at,SNORD24///SNORD36A///SNORD36B///RPL7A | 224930_x_at,0.905913883633774
ND4 | 224372_at,RPS10 | 200095_x_at,0.913009596999132
