GeneId1,GeneId2,Corr
AFFX-r2-Hs18SrRNA-5_at | AFFX-r2-Hs18SrRNA-5_at,AFFX-HUMRGE/M10098_5_at | AFFX-HUMRGE/M10098_5_at,0.947565645153764
AFFX-r2-Hs18SrRNA-M_x_at | AFFX-r2-Hs18SrRNA-M_x_at,AFFX-HUMRGE/M10098_5_at | AFFX-HUMRGE/M10098_5_at,0.94662996301694
AFFX-r2-Hs18SrRNA-M_x_at | AFFX-r2-Hs18SrRNA-M_x_at,AFFX-r2-Hs18SrRNA-5_at | AFFX-r2-Hs18SrRNA-5_at,0.926642617863185
XIST | 224590_at,XIST | 224588_at,0.868499207402475
AFFX-HUMRGE/M10098_M_at | AFFX-HUMRGE/M10098_M_at,AFFX-HUMRGE/M10098_5_at | AFFX-HUMRGE/M10098_5_at,0.898742206398577
AFFX-r2-Hs18SrRNA-3_s_at | AFFX-r2-Hs18SrRNA-3_s_at,AFFX-HUMRGE/M10098_5_at | AFFX-HUMRGE/M10098_5_at,0.910992670736524
AFFX-r2-Hs18SrRNA-3_s_at | AFFX-r2-Hs18SrRNA-3_s_at,AFFX-r2-Hs18SrRNA-5_at | AFFX-r2-Hs18SrRNA-5_at,0.947472024695219
AFFX-r2-Hs18SrRNA-3_s_at | AFFX-r2-Hs18SrRNA-3_s_at,AFFX-r2-Hs18SrRNA-M_x_at | AFFX-r2-Hs18SrRNA-M_x_at,0.873771375384481
C19orf33 | 223631_s_at,EHF | 225645_at,0.863901872106783
AFFX-r2-Hs28SrRNA-5_at | AFFX-r2-Hs28SrRNA-5_at,AFFX-HUMRGE/M10098_5_at | AFFX-HUMRGE/M10098_5_at,0.908959509512518
AFFX-r2-Hs28SrRNA-5_at | AFFX-r2-Hs28SrRNA-5_at,AFFX-HUMRGE/M10098_M_at | AFFX-HUMRGE/M10098_M_at,0.932223388534662
XIST | 227671_at,XIST | 224588_at,0.914046881447818
NME7 | 227556_at,ERBB3 | 226213_at,0.850613862179364
EPS8L2 | 222546_s_at,EHF | 225645_at,0.864790904662554
PPP1R14C | 226907_at,ERBB3 | 226213_at,0.872065641156012
AFFX-HUMRGE/M10098_3_at | AFFX-HUMRGE/M10098_3_at,AFFX-HUMRGE/M10098_5_at | AFFX-HUMRGE/M10098_5_at,0.922852009005728
AFFX-HUMRGE/M10098_3_at | AFFX-HUMRGE/M10098_3_at,AFFX-r2-Hs18SrRNA-5_at | AFFX-r2-Hs18SrRNA-5_at,0.919253235819147
