GeneId1,GeneId2,Corr
XIST | 224590_at,XIST | 224588_at,0.868499207402475
XIST | 227671_at,XIST | 224588_at,0.914046881447818
XIST | 224589_at,XIST | 224590_at,0.878966878259785
TXLNGY | 223646_s_at,TXLNGY | 223645_s_at,0.940214025153025
ZFY | 230760_at,TXLNGY | 232618_at,0.858962837141945
USP9Y | 228492_at,TXLNGY | 232618_at,0.864058332477178
242910_x_at | 242910_x_at,237717_x_at | 237717_x_at,0.853662685636429
242202_at | 242202_at,237717_x_at | 237717_x_at,0.860248944889369
241796_x_at | 241796_x_at,237717_x_at | 237717_x_at,0.851860791109164
241796_x_at | 241796_x_at,242910_x_at | 242910_x_at,0.890082891703446
241545_x_at | 241545_x_at,239938_x_at | 239938_x_at,0.868882709572775
241545_x_at | 241545_x_at,237717_x_at | 237717_x_at,0.867411960558222
241545_x_at | 241545_x_at,242910_x_at | 242910_x_at,0.859389669601928
241545_x_at | 241545_x_at,242202_at | 242202_at,0.873732676141671
TNKS2 | 241909_at,242910_x_at | 242910_x_at,0.883463651313661
TNKS2 | 241909_at,241545_x_at | 241545_x_at,0.893765255358588
237825_x_at | 237825_x_at,239938_x_at | 239938_x_at,0.875092105554083
237825_x_at | 237825_x_at,242202_at | 242202_at,0.86074296790784
237520_x_at | 237520_x_at,239938_x_at | 239938_x_at,0.870066182870308
237520_x_at | 237520_x_at,241647_x_at | 241647_x_at,0.857157051485525
237520_x_at | 237520_x_at,ANKS1B | 240292_x_at,0.851176416272257
237520_x_at | 237520_x_at,241796_x_at | 241796_x_at,0.900605432750775
237520_x_at | 237520_x_at,241545_x_at | 241545_x_at,0.850715047317277
237520_x_at | 237520_x_at,237825_x_at | 237825_x_at,0.875644424887071
RNF180 | 242033_at,ANKS1B | 240292_x_at,0.885291782316954
RNF180 | 236644_at,241647_x_at | 241647_x_at,0.88497442557976
RNF180 | 236644_at,241796_x_at | 241796_x_at,0.855721303502553
RNF180 | 236644_at,237520_x_at | 237520_x_at,0.880314872805652
RNF180 | 236644_at,RNF180 | 242033_at,0.889483968462531
241806_at | 241806_at,RORA | 241760_x_at,0.86838494251777
237937_x_at | 237937_x_at,233847_x_at | 233847_x_at,0.866816835707586
237937_x_at | 237937_x_at,241545_x_at | 241545_x_at,0.879350406750724
237937_x_at | 237937_x_at,237520_x_at | 237520_x_at,0.868791057570941
GREM2 | 240509_s_at,233847_x_at | 233847_x_at,0.850091544817228
GREM2 | 240509_s_at,237717_x_at | 237717_x_at,0.894671472156
GREM2 | 240509_s_at,241647_x_at | 241647_x_at,0.867538397823332
GREM2 | 240509_s_at,241545_x_at | 241545_x_at,0.851952918442205
GREM2 | 240509_s_at,GPR22 | 244493_at,0.856761095938012
GREM2 | 240509_s_at,237937_x_at | 237937_x_at,0.853963565993536
241390_at | 241390_at,241647_x_at | 241647_x_at,0.853571480224096
241390_at | 241390_at,237520_x_at | 237520_x_at,0.864731988215336
241390_at | 241390_at,RNF180 | 236644_at,0.873507115936287
234489_at | 234489_at,PPP4R3B | 241103_at,0.88391067907727
240922_at | 240922_at,GREM2 | 240509_s_at,0.861268632181159
240160_x_at | 240160_x_at,241647_x_at | 241647_x_at,0.878370083067718
240160_x_at | 240160_x_at,237520_x_at | 237520_x_at,0.886008791267956
HMGCLL1 | 233576_at,242955_x_at | 242955_x_at,0.861238036301081
HMGCLL1 | 233576_at,USF3 | 242513_x_at,0.86222179925536
HMGCLL1 | 233576_at,CNTN5 | 244632_at,0.885375789446075
CALN1 | 230698_at,SOX2-OT | 231898_x_at,0.853621934639634
237556_at | 237556_at,242202_at | 242202_at,0.882357492707069
237556_at | 237556_at,237825_x_at | 237825_x_at,0.858392002774395
RNF14 | 243345_at,TMEM67 | 238229_at,0.862824446944779
RNF14 | 243345_at,TAS2R14 | 236637_at,0.856808842850268
SCN9A | 229199_at,237825_x_at | 237825_x_at,0.870676655827966
241635_at | 241635_at,TMEM67 | 238229_at,0.866233587012878
241635_at | 241635_at,RNF14 | 243345_at,0.897288524469516
237984_x_at | 237984_x_at,ANKS1B | 240292_x_at,0.868813707249858
FAM124A | 241829_at,230927_at | 230927_at,0.854250651855121
DNAH11 | 237804_at,237937_x_at | 237937_x_at,0.854340449185841
CADM2 | 235118_at,ANKS1B | 240292_x_at,0.85111782339046
