GeneId1,GeneId2,Corr
MS4A6A | 224356_x_at,MS4A6A | 223280_x_at,0.985032026320482
MS4A6A | 223922_x_at,MS4A6A | 223280_x_at,0.956862082624876
MS4A6A | 223922_x_at,MS4A6A | 224356_x_at,0.967278057875103
AFFX-r2-Hs28SrRNA-3_at | AFFX-r2-Hs28SrRNA-3_at,AFFX-M27830_5_at | AFFX-M27830_5_at,0.883418667990371
233228_at | 233228_at,232528_at | 232528_at,0.858266970523691
233228_at | 233228_at,RNF213 | 230000_at,0.871847555088997
BCAT1 | 225285_at,BCAT1 | 226517_at,0.928874500015964
XIST | 227671_at,XIST | 224588_at,0.914046881447818
LINC00685 | 232463_at,236167_at | 236167_at,0.866004792058953
INSR | 226450_at,227432_s_at | 227432_s_at,0.907525463818074
238341_at | 238341_at,MALAT1 | 228582_x_at,0.863126345085278
ITGB2-AS1 | 229041_s_at,PIK3R5 | 227645_at,0.857609088027799
BSPRY | 222746_s_at,236167_at | 236167_at,0.862889407596815
BSPRY | 222746_s_at,PCDH9 | 238919_at,-0.881988256136084
CD82 | 228910_at,ERMN | 231911_at,-0.870135962147662
L3MBTL3 | 229393_at,RNF213 | 230000_at,0.865413287243989
L3MBTL3 | 229393_at,233228_at | 233228_at,0.85822338986586
OSBPL8 | 228986_at,MALAT1 | 228582_x_at,0.864648470570724
OSBPL8 | 228986_at,238341_at | 238341_at,0.882229276140227
CCNL1 | 241495_at,NXPE3 | 235030_at,0.850016585421279
C1orf162 | 228532_at,FGL2 | 227265_at,0.897184318518421
239944_at | 239944_at,233921_s_at | 233921_s_at,0.86908364524194
239944_at | 239944_at,RNF213 | 230000_at,0.863108088504708
239944_at | 239944_at,233228_at | 233228_at,0.870863633376416
239944_at | 239944_at,L3MBTL3 | 229393_at,0.883881914883343
MIB1 | 224726_at,DYNC1H1 | 229115_at,0.876171176188505
TRG-AS1 | 239237_at,WDFY2 | 243514_at,0.85903813733658
AFFX-r2-Hs18SrRNA-M_x_at | AFFX-r2-Hs18SrRNA-M_x_at,AFFX-r2-Hs18SrRNA-5_at | AFFX-r2-Hs18SrRNA-5_at,0.926642617863185
GSPT1 | 234975_at,236125_at | 236125_at,0.866031582424867
ZNF711 | 228988_at,LMO7 | 242722_at,-0.864808014003957
MAP1LC3A | 227219_x_at,INSR | 226450_at,0.876548914397593
CAMK4 | 229029_at,CR1 | 244313_at,0.859092566563797
GLIPR1 | 226136_at,EPN3 | 223895_s_at,-0.866108547032187
229629_at | 229629_at,242904_x_at | 242904_x_at,0.855680784819829
STK4 | 223746_at,GGNBP2 | 233937_at,0.897139864553746
MALAT1 | 224568_x_at,MALAT1 | 227510_x_at,0.891261731401917
XIST | 224590_at,XIST | 224588_at,0.868499207402475
224185_at | 224185_at,241417_at | 241417_at,0.852168636573004
235984_at | 235984_at,RPS27 | 236621_at,0.860897945912803
URGCP | 244046_at,RNF213 | 230000_at,0.857387212953664
URGCP | 244046_at,239944_at | 239944_at,0.850027624019909
URGCP | 244046_at,238000_at | 238000_at,0.85098420277066
AFFX-r2-Hs18SrRNA-3_s_at | AFFX-r2-Hs18SrRNA-3_s_at,AFFX-r2-Hs18SrRNA-5_at | AFFX-r2-Hs18SrRNA-5_at,0.947472024695219
AFFX-r2-Hs18SrRNA-3_s_at | AFFX-r2-Hs18SrRNA-3_s_at,AFFX-r2-Hs18SrRNA-M_x_at | AFFX-r2-Hs18SrRNA-M_x_at,0.873771375384481
ZDHHC21 | 229923_at,INSR | 226450_at,-0.892797962894637
TMCC3 | 235146_at,LINC00685 | 232463_at,-0.870297767103646
LOC102723773///LOC101060604///LOC101060596///LOC101060386///SMG1P7///NPIPA5///SMG1P3///NPIPB5///SMG1P1///LOC613037///SMG1P5///BOLA2///SMG1P2///NPIPB4///SLC7A5P1///SMG1 | 244766_at,240960_at | 240960_at,0.887175458752387
LOC102723773///LOC101060604///LOC101060596///LOC101060386///SMG1P7///NPIPA5///SMG1P3///NPIPB5///SMG1P1///LOC613037///SMG1P5///BOLA2///SMG1P2///NPIPB4///SLC7A5P1///SMG1 | 244766_at,URGCP | 244046_at,0.903033077796179
AFFX-HUMRGE/M10098_3_at | AFFX-HUMRGE/M10098_3_at,AFFX-r2-Hs18SrRNA-5_at | AFFX-r2-Hs18SrRNA-5_at,0.919253235819147
AFFX-HUMRGE/M10098_3_at | AFFX-HUMRGE/M10098_3_at,AFFX-r2-Hs18SrRNA-M_x_at | AFFX-r2-Hs18SrRNA-M_x_at,0.914186236415183
AFFX-HUMRGE/M10098_3_at | AFFX-HUMRGE/M10098_3_at,AFFX-r2-Hs18SrRNA-3_s_at | AFFX-r2-Hs18SrRNA-3_s_at,0.91828734457759
EHMT1 | 222873_s_at,238341_at | 238341_at,0.858298501930501
MPEG1 | 226818_at,MPEG1 | 226841_at,0.869599727319363
MPEG1 | 226818_at,CR1 | 244313_at,0.870208471944471
FLJ32255 | 235291_s_at,RNF213 | 230000_at,0.852958054186437
FLJ32255 | 235291_s_at,239944_at | 239944_at,0.884424102195806
FLJ32255 | 235291_s_at,KTI12///TXNDC12 | 225642_at,0.858869614047898
MAP4K4 | 222547_at,CLIP4 | 226425_at,0.861720003386996
LOC101060604///NPIPA5///SMG1P3///NPIPB5///SMG1P1///LOC613037///NPIPB4///SLC7A5P1///NPIPB3 | 231989_s_at,244674_at | 244674_at,0.891454652774235
243158_at | 243158_at,233692_at | 233692_at,0.85710843967623
RNF213 | 231956_at,RNF213 | 230000_at,0.866407212459295
