GeneId1,GeneId2,Corr
TMED6 | 236430_at,SYCN | 229995_at,0.897525148073722
COL3A1 | 232458_at,CTHRC1 | 225681_at,0.927901966319344
FNDC1 | 226930_at,COL3A1 | 232458_at,0.891224311744261
XIST | 227671_at,XIST | 224588_at,0.914046881447818
TEX11 | 233514_x_at,SYCN | 229995_at,0.872947503763236
XIST | 224590_at,XIST | 224588_at,0.868499207402475
EDIL3 | 225275_at,ANTXR1 | 224694_at,0.898413914355961
BHLHA15 | 235965_at,ERP27 | 227450_at,0.862074609463603
BHLHA15 | 235965_at,TEX11 | 233514_x_at,0.873144705118867
SFRP2 | 223121_s_at,FNDC1 | 226930_at,0.870037755254391
ADAMTS2 | 226311_at,COL3A1 | 232458_at,0.879357978491356
ADAMTS2 | 226311_at,FNDC1 | 226930_at,0.897249008993694
ADAMTS2 | 226311_at,SFRP2 | 223121_s_at,0.92352429600985
XIST | 224589_at,XIST | 224590_at,0.878966878259785
AFFX-r2-Hs18SrRNA-3_s_at | AFFX-r2-Hs18SrRNA-3_s_at,AFFX-HUMRGE/M10098_3_at | AFFX-HUMRGE/M10098_3_at,0.91828734457759
HOXB3 | 228904_at,SPX | 229778_at,-0.854968926828428
COL1A2 | 229218_at,COL3A1 | 232458_at,0.890058672827301
COL1A2 | 229218_at,FNDC1 | 226930_at,0.864106922575129
COL1A2 | 229218_at,SFRP2 | 223121_s_at,0.879762831582485
COL1A2 | 229218_at,ADAMTS2 | 226311_at,0.888663412047424
DHRS9 | 223952_x_at,CYP2S1 | 223385_at,0.855989905699567
DHRS9 | 223952_x_at,DHRS9 | 224009_x_at,0.970831433058624
AFFX-r2-Hs18SrRNA-5_at | AFFX-r2-Hs18SrRNA-5_at,AFFX-HUMRGE/M10098_3_at | AFFX-HUMRGE/M10098_3_at,0.919253235819147
AFFX-r2-Hs18SrRNA-5_at | AFFX-r2-Hs18SrRNA-5_at,AFFX-r2-Hs18SrRNA-3_s_at | AFFX-r2-Hs18SrRNA-3_s_at,0.947472024695219
MUC17 | 232321_at,REG4 | 223447_at,0.857084269936324
FRMD6 | 225464_at,FRMD6 | 225481_at,0.899508720645235
231460_at | 231460_at,SYCN | 229995_at,0.868167832889306
231460_at | 231460_at,243890_at | 243890_at,0.85327773131511
GSKIP | 223239_at,SYCN | 229995_at,-0.867327606278272
PM20D1 | 239929_at,ERP27 | 227450_at,0.880019748983879
PM20D1 | 239929_at,TEX11 | 233514_x_at,0.890622881898867
PM20D1 | 239929_at,BHLHA15 | 235965_at,0.867234088089722
PM20D1 | 239929_at,REG4 | 223447_at,0.884300227055898
PM20D1 | 239929_at,242874_at | 242874_at,0.894843910438405
C1QC | 225353_s_at,CXCL14 | 222484_s_at,0.883596104456512
KIAA1324 | 226248_s_at,242874_at | 242874_at,0.850267509556145
ABRACL | 223361_at,231460_at | 231460_at,-0.858985521467785
SKAP2 | 225639_at,TEX11 | 233514_x_at,-0.874207535794506
AFFX-HUMRGE/M10098_5_at | AFFX-HUMRGE/M10098_5_at,AFFX-HUMRGE/M10098_3_at | AFFX-HUMRGE/M10098_3_at,0.922852009005728
AFFX-HUMRGE/M10098_5_at | AFFX-HUMRGE/M10098_5_at,AFFX-r2-Hs18SrRNA-3_s_at | AFFX-r2-Hs18SrRNA-3_s_at,0.910992670736524
AFFX-HUMRGE/M10098_5_at | AFFX-HUMRGE/M10098_5_at,AFFX-r2-Hs18SrRNA-5_at | AFFX-r2-Hs18SrRNA-5_at,0.947565645153764
MAML2 | 235457_at,COTL1 | 224583_at,0.867299691990612
CNN3 | 228297_at,ANTXR1 | 224694_at,0.850650276389739
MALAT1 | 223940_x_at,MALAT1 | 224568_x_at,0.969503957082376
SLC39A5 | 231667_at,SYCN | 229995_at,0.869223520586661
SLC39A5 | 231667_at,231460_at | 231460_at,0.919500299718421
SLC39A5 | 231667_at,ABRACL | 223361_at,-0.882750779257292
SUPT20H | 226330_s_at,ABRACL | 223361_at,0.871551917067304
BACE1 | 222462_s_at,BACE1 | 222463_s_at,0.902841595619253
AFFX-r2-Hs18SrRNA-M_x_at | AFFX-r2-Hs18SrRNA-M_x_at,AFFX-HUMRGE/M10098_3_at | AFFX-HUMRGE/M10098_3_at,0.914186236415183
AFFX-r2-Hs18SrRNA-M_x_at | AFFX-r2-Hs18SrRNA-M_x_at,AFFX-r2-Hs18SrRNA-3_s_at | AFFX-r2-Hs18SrRNA-3_s_at,0.873771375384481
AFFX-r2-Hs18SrRNA-M_x_at | AFFX-r2-Hs18SrRNA-M_x_at,AFFX-r2-Hs18SrRNA-5_at | AFFX-r2-Hs18SrRNA-5_at,0.926642617863185
AFFX-r2-Hs18SrRNA-M_x_at | AFFX-r2-Hs18SrRNA-M_x_at,AFFX-HUMRGE/M10098_5_at | AFFX-HUMRGE/M10098_5_at,0.94662996301694
LINC00319 | 236631_at,235419_at | 235419_at,0.869312369984468
BLOC1S6 | 222826_at,235419_at | 235419_at,-0.911297634077613
TWSG1 | 225406_at,KLHL5 | 226001_at,0.852596603708597
235879_at | 235879_at,RAB8B | 226633_at,0.86180146546003
TMEM52 | 230467_at,SYCN | 229995_at,0.882850111072567
TMEM52 | 230467_at,TEX11 | 233514_x_at,0.913147841624318
TMEM52 | 230467_at,BHLHA15 | 235965_at,0.869295393980484
TMEM52 | 230467_at,PM20D1 | 239929_at,0.867241227332425
TMEM52 | 230467_at,SKAP2 | 225639_at,-0.876112841998406
EPPK1 | 232164_s_at,EPPK1 | 232165_at,0.871117487938951
OSMR | 226621_at,ANTXR1 | 224694_at,0.855662166908682
OSMR | 226621_at,COL12A1 | 225664_at,0.858748529285159
OSMR | 226621_at,FRMD6 | 225481_at,0.855547942975427
OSMR | 226621_at,FRMD6 | 225464_at,0.867815375242529
OSMR | 226621_at,PMEPA1 | 222449_at,0.857273459317424
PLXDC2 | 227276_at,PLXDC2 | 226865_at,0.864448511345269
RASSF3 | 230466_s_at,COTL1 | 224583_at,0.859154361150274
RASSF3 | 230466_s_at,ABRACL | 223361_at,0.865569265407361
RASSF3 | 230466_s_at,SUPT20H | 226330_s_at,0.911739675744277
RASSF3 | 230466_s_at,RAB8B | 226633_at,0.871657445942577
RASSF3 | 230466_s_at,235879_at | 235879_at,0.860545325442292
AFFX-r2-Hs28SrRNA-3_at | AFFX-r2-Hs28SrRNA-3_at,AFFX-M27830_5_at | AFFX-M27830_5_at,0.883418667990371
AFFX-r2-Hs28SrRNA-3_at | AFFX-r2-Hs28SrRNA-3_at,AFFX-HUMRGE/M10098_5_at | AFFX-HUMRGE/M10098_5_at,0.882503699854066
SLC16A10 | 222939_s_at,SYCN | 229995_at,0.875661873748853
MYLK | 224823_at,EDIL3 | 225275_at,0.85340910035252
KMT2E | 223190_s_at,SYCN | 229995_at,-0.867532509122391
KMT2E | 223190_s_at,TEX11 | 233514_x_at,-0.868136951487364
KMT2E | 223190_s_at,SUPT20H | 226330_s_at,0.880551782682299
KMT2E | 223190_s_at,RAB8B | 226633_at,0.851405744413065
KMT2E | 223190_s_at,235879_at | 235879_at,0.910192984763291
KMT2E | 223190_s_at,RASSF3 | 230466_s_at,0.898638573286011
DCBLD2 | 224911_s_at,FRMD6 | 225481_at,0.858801170639773
DCBLD2 | 224911_s_at,FRMD6 | 225464_at,0.891113404835181
RBMS1 | 225265_at,HOXB3 | 228904_at,0.855843601710001
243395_at | 243395_at,SLC20A1 | 230494_at,0.875149778609883
EGLN3 | 222847_s_at,C1QC | 225353_s_at,0.862199404846594
CMPK2 | 226702_at,GBP1 | 231577_s_at,0.858169487000065
GOLIM4 | 238002_at,KLHL5 | 226001_at,0.892522067706281
PLXDC2 | 227995_at,PLXDC2 | 226865_at,0.867627848729477
CD47 | 226016_at,RAB8B | 226633_at,0.925778345033194
CD47 | 226016_at,235879_at | 235879_at,0.89451966680107
239946_at | 239946_at,DOCK5 | 230263_s_at,-0.852496625811326
PHACTR2 | 227947_at,ABRACL | 223361_at,0.899260888759856
242558_at | 242558_at,CTNNB1 | 223679_at,0.881919662908446
WDFY1 | 224800_at,SYCN | 229995_at,-0.864331923611043
WDFY1 | 224800_at,ABRACL | 223361_at,0.886497730029995
WDFY1 | 224800_at,SUPT20H | 226330_s_at,0.904931499302223
WDFY1 | 224800_at,RASSF3 | 230466_s_at,0.90231571803152
WDFY1 | 224800_at,KMT2E | 223190_s_at,0.900628961721826
WDFY1 | 224800_at,PHACTR2 | 227947_at,0.863026140013908
LINC00261 | 228004_at,SYCN | 229995_at,0.875177909809625
LINC00261 | 228004_at,231460_at | 231460_at,0.881368393468342
LINC00261 | 228004_at,SLC39A5 | 231667_at,0.892006842570859
LINC00261 | 228004_at,235419_at | 235419_at,0.859769105938851
LINC00261 | 228004_at,BLOC1S6 | 222826_at,-0.855124457598219
LINC00261 | 228004_at,RASSF3 | 230466_s_at,-0.86704497487379
MALAT1 | 231735_s_at,DDX17 | 230180_at,0.890701126277299
ARRDC3 | 224797_at,235879_at | 235879_at,0.903457096898902
ARRDC3 | 224797_at,RASSF3 | 230466_s_at,0.854755984856696
ARRDC3 | 224797_at,KMT2E | 223190_s_at,0.882844709556105
242397_at | 242397_at,MGC24103 | 232568_at,0.851102929717562
MIB1 | 224720_at,SYCN | 229995_at,-0.867770808783158
MIB1 | 224720_at,GSKIP | 223239_at,0.853595653929605
235805_at | 235805_at,EPPK1 | 232164_s_at,0.851947923358796
235805_at | 235805_at,242397_at | 242397_at,0.879078963781099
241435_at | 241435_at,ETS1 | 224833_at,0.874513589654994
241435_at | 241435_at,EMB | 226789_at,0.869489898026782
FAM3B | 227194_at,231460_at | 231460_at,0.867242789827379
FAM3B | 227194_at,SLC39A5 | 231667_at,0.868787884161109
FAM3B | 227194_at,RASSF3 | 230466_s_at,-0.852528096114108
FAM3B | 227194_at,LINC00261 | 228004_at,0.876758665870476
KPNA4 | 225267_at,SYCN | 229995_at,-0.93181253037603
KPNA4 | 225267_at,TMED6 | 236430_at,-0.862344257363982
KPNA4 | 225267_at,GSKIP | 223239_at,0.86257974970624
KPNA4 | 225267_at,TMEM52 | 230467_at,-0.853666384304447
KPNA4 | 225267_at,WDFY1 | 224800_at,0.861516097189589
KPNA4 | 225267_at,MIB1 | 224720_at,0.851599200349335
GPHA2 | 237230_at,231460_at | 231460_at,0.88436719462217
GPHA2 | 237230_at,SLC39A5 | 231667_at,0.906946776370912
GPHA2 | 237230_at,PHACTR2 | 227947_at,-0.851440018012842
GPHA2 | 237230_at,LINC00261 | 228004_at,0.855779787043069
MALAT1 | 227510_x_at,MALAT1 | 224568_x_at,0.891261731401917
MALAT1 | 227510_x_at,MALAT1 | 223940_x_at,0.876549687075868
BLOC1S6 | 224883_at,235419_at | 235419_at,-0.871834147857186
BLOC1S6 | 224883_at,BLOC1S6 | 222826_at,0.856786109203609
BLOC1S6 | 224883_at,RASSF3 | 230466_s_at,0.867595517603139
C11orf96 | 227099_s_at,CXCL14 | 222484_s_at,0.866599367761775
C11orf96 | 227099_s_at,C1QC | 225353_s_at,0.856493450720669
