GeneId1,GeneId2,Corr
XIST | 227671_at,XIST | 224588_at,0.914046881447818
XIST | 224590_at,XIST | 224588_at,0.868499207402475
HACD3 | 234000_s_at,HACD3 | 222404_x_at,0.910705310648904
AFFX-r2-Hs28SrRNA-3_at | AFFX-r2-Hs28SrRNA-3_at,AFFX-M27830_5_at | AFFX-M27830_5_at,0.883418667990371
AFFX-r2-Hs18SrRNA-5_at | AFFX-r2-Hs18SrRNA-5_at,AFFX-r2-Hs18SrRNA-M_x_at | AFFX-r2-Hs18SrRNA-M_x_at,0.926642617863185
ZBTB20 | 227121_at,ZBTB20 | 235308_at,0.868524746234299
CPEB3 | 239765_at,SCN2A | 229057_at,0.859256353150607
XIST | 224589_at,XIST | 224590_at,0.878966878259785
AFFX-r2-Hs18SrRNA-3_s_at | AFFX-r2-Hs18SrRNA-3_s_at,AFFX-r2-Hs18SrRNA-M_x_at | AFFX-r2-Hs18SrRNA-M_x_at,0.873771375384481
AFFX-r2-Hs18SrRNA-3_s_at | AFFX-r2-Hs18SrRNA-3_s_at,AFFX-r2-Hs18SrRNA-5_at | AFFX-r2-Hs18SrRNA-5_at,0.947472024695219
AFFX-HUMRGE/M10098_5_at | AFFX-HUMRGE/M10098_5_at,AFFX-r2-Hs18SrRNA-M_x_at | AFFX-r2-Hs18SrRNA-M_x_at,0.94662996301694
AFFX-HUMRGE/M10098_5_at | AFFX-HUMRGE/M10098_5_at,AFFX-r2-Hs28SrRNA-3_at | AFFX-r2-Hs28SrRNA-3_at,0.882503699854066
AFFX-HUMRGE/M10098_5_at | AFFX-HUMRGE/M10098_5_at,AFFX-r2-Hs18SrRNA-5_at | AFFX-r2-Hs18SrRNA-5_at,0.947565645153764
AFFX-HUMRGE/M10098_5_at | AFFX-HUMRGE/M10098_5_at,AFFX-r2-Hs18SrRNA-3_s_at | AFFX-r2-Hs18SrRNA-3_s_at,0.910992670736524
APOOL | 235433_at,RHBDD2 | 232053_x_at,0.864390298695296
RAB3C | 229300_at,NKAIN4 | 228018_at,0.851544872113648
RAB3C | 229300_at,MAP4 | 235066_at,0.922916586184164
PLCXD2 | 235230_at,239678_at | 239678_at,0.855464987229017
SDAD1 | 228408_s_at,KMT2C | 222413_s_at,0.865563206102376
MS4A6A | 224356_x_at,MS4A6A | 223280_x_at,0.985032026320482
FBXW5 | 223050_s_at,SNORA60///SNORA71E///SNHG11 | 226149_at,0.862148816049865
MPEG1 | 226841_at,MPEG1 | 226818_at,0.869599727319363
CAB39L | 225915_at,USP31 | 226035_at,0.871103660290509
FA2H | 234963_s_at,NFIA | 224976_at,0.850749215436571
KCNJ6 | 232411_at,KLHL1 | 223810_at,0.872980580106668
