geo.accession	disease
GSM254184	diabetes
GSM254185	diabetes
GSM254187	diabetes
GSM254189	diabetes
GSM254190	diabetes
GSM254186	diabetes
GSM254188	diabetes
GSM254194	diabetes
GSM254195	diabetes
GSM254196	diabetes
GSM559433	leukemia
GSM559434	leukemia
GSM559436	leukemia
GSM559437	leukemia
GSM559438	leukemia
GSM559440	leukemia
GSM559441	leukemia
GSM559442	leukemia
GSM559444	leukemia
GSM559445	leukemia
GSM208700	parkinson
GSM208701	parkinson
GSM208702	parkinson
GSM208703	parkinson
GSM208704	parkinson
GSM208705	parkinson
GSM208706	parkinson
GSM208707	parkinson
GSM208708	parkinson
GSM208709	parkinson
GSM3922	asthma
GSM3924	asthma
GSM3926	asthma
GSM3928	asthma
GSM3930	asthma
GSM3932	asthma
GSM3934	asthma
GSM3936	asthma
GSM3938	asthma
GSM3940	asthma
GSM1060008	pancreatic
GSM1060009	pancreatic
GSM1060010	pancreatic
GSM1060011	pancreatic
GSM1060019	pancreatic
GSM1060020	pancreatic
GSM1060021	pancreatic
GSM1060022	pancreatic
GSM1060023	pancreatic
GSM1060024	pancreatic
GSM783029	lung
GSM783030	lung
GSM783031	lung
GSM783032	lung
GSM783033	lung
GSM783034	lung
GSM783035	lung
GSM783036	lung
GSM783037	lung
GSM783038	lung
GSM151910	breast
GSM151911	breast
GSM151912	breast
GSM151913	breast
GSM151914	breast
GSM151915	breast
GSM151916	breast
GSM151917	breast
GSM151918	breast
GSM151919	breast
